Unit,Bird_ID,Hemisphere,Track,Depth,Unit_letter,Method,Accuracy,Stimulus
R37-R3_Lhem_2_3.10_B,R37-R3,Lhem,2,3.1,B,rcorr,0.169777778,Male_song_1
R37-R3_Lhem_2_3.10_B,R37-R3,Lhem,2,3.1,B,rcorr,0.294333333,Male_song_2
R37-R3_Lhem_2_3.10_B,R37-R3,Lhem,2,3.1,B,rcorr,0.189222222,Male_song_3
R37-R3_Lhem_2_3.10_B,R37-R3,Lhem,2,3.1,B,rcorr,0.315111111,White_noise
W32_Rhem_1_2.40_A,W32,Rhem,1,2.4,A,rcorr,0.238222222,Female_call
W32_Rhem_1_2.40_A,W32,Rhem,1,2.4,A,rcorr,0.297444444,Male_song_1
W32_Rhem_1_2.40_A,W32,Rhem,1,2.4,A,rcorr,0.190111111,Male_song_2
W32_Rhem_1_2.40_A,W32,Rhem,1,2.4,A,rcorr,0.186,Male_song_3
W32_Rhem_1_2.40_A,W32,Rhem,1,2.4,A,rcorr,0.510666667,White_noise
W32_Rhem_1_2.40_B,W32,Rhem,1,2.4,B,rcorr,0.296333333,Female_call
W32_Rhem_1_2.40_B,W32,Rhem,1,2.4,B,rcorr,0.278666667,Male_song_1
W32_Rhem_1_2.40_B,W32,Rhem,1,2.4,B,rcorr,0.202555556,Male_song_2
W32_Rhem_1_2.40_B,W32,Rhem,1,2.4,B,rcorr,0.339111111,Male_song_3
W32_Rhem_1_2.40_B,W32,Rhem,1,2.4,B,rcorr,0.497777778,White_noise
W32_Rhem_1_2.45_A,W32,Rhem,1,2.45,A,rcorr,0.380777778,Female_call
W32_Rhem_1_2.45_A,W32,Rhem,1,2.45,A,rcorr,0.283333333,Male_song_1
W32_Rhem_1_2.45_A,W32,Rhem,1,2.45,A,rcorr,0.300888889,Male_song_2
W32_Rhem_1_2.45_A,W32,Rhem,1,2.45,A,rcorr,0.483333333,Male_song_3
W32_Rhem_1_2.45_A,W32,Rhem,1,2.45,A,rcorr,0.240333333,White_noise
W32_Rhem_1_2.45_B,W32,Rhem,1,2.45,B,rcorr,0.386555556,Female_call
W32_Rhem_1_2.45_B,W32,Rhem,1,2.45,B,rcorr,0.269444444,Male_song_1
W32_Rhem_1_2.45_B,W32,Rhem,1,2.45,B,rcorr,0.298,Male_song_2
W32_Rhem_1_2.45_B,W32,Rhem,1,2.45,B,rcorr,0.473333333,Male_song_3
W32_Rhem_1_2.45_B,W32,Rhem,1,2.45,B,rcorr,0.240555556,White_noise
W32_Rhem_1_2.50_A,W32,Rhem,1,2.5,A,rcorr,0.238555556,Female_call
W32_Rhem_1_2.50_A,W32,Rhem,1,2.5,A,rcorr,0.281444444,Male_song_1
W32_Rhem_1_2.50_A,W32,Rhem,1,2.5,A,rcorr,0.318444444,Male_song_2
