Unit_ID,Bird_ID,Hemisphere,Trial,Unit_letter,Stimulus,p.value
W32_Rhem_T1TRIAL2.73_A,W32,Rhem,T1TRIAL2.73,A,Male_song_1,0.721103097
W32_Rhem_T1TRIAL2.73_B,W32,Rhem,T1TRIAL2.73,B,Male_song_1,0.125786425
W32_Rhem_T1TRIAL2.85_A,W32,Rhem,T1TRIAL2.85,A,Male_song_1,0.921875
W32_Rhem_T1TRIAL2.85_B,W32,Rhem,T1TRIAL2.85,B,Male_song_1,0.307748898
W32_Rhem_T1TRIAL2.88_A,W32,Rhem,T1TRIAL2.88,A,Male_song_1,0.838360234
W32_Rhem_T1TRIAL2.88_B,W32,Rhem,T1TRIAL2.88,B,Male_song_1,0.102470435
W32_Rhem_T1TRIAL2.88_C,W32,Rhem,T1TRIAL2.88,C,Male_song_1,0.184858254
W32_Rhem_T1TRIAL2.95_A,W32,Rhem,T1TRIAL2.95,A,Male_song_1,0.014029061
W32_Rhem_T1TRIAL2.95_B,W32,Rhem,T1TRIAL2.95,B,Male_song_1,0.009029911
W32_Rhem_T1TRIAL2.95_C,W32,Rhem,T1TRIAL2.95,C,Male_song_1,0.014147404
W32_Rhem_T1TRIAL3.00_A,W32,Rhem,T1TRIAL3.00,A,Male_song_1,0.082130853
W32_Rhem_T1TRIAL3.00_B,W32,Rhem,T1TRIAL3.00,B,Male_song_1,0.001953125
W32_Rhem_T1TRIAL3.05_A,W32,Rhem,T1TRIAL3.05,A,Male_song_1,0.240509667
W32_Rhem_T1TRIAL3.05_B,W32,Rhem,T1TRIAL3.05,B,Male_song_1,1
W32_Rhem_T1TRIAL3.05_C,W32,Rhem,T1TRIAL3.05,C,Male_song_1,0.476809761
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_2,0.168530235
Bl86-R20_Lhem_T2TRIAL3.90_B,Bl86-R20,Lhem,T2TRIAL3.90,B,Male_song_2,0.672051769
Bl86-R20_Lhem_T2TRIAL3.90_C,Bl86-R20,Lhem,T2TRIAL3.90,C,Male_song_2,0.952682032
Bl86-R20_Lhem_T2TRIAL4.00_A,Bl86-R20,Lhem,T2TRIAL4.00,A,Male_song_2,0.623638826
Bl86-R20_Lhem_T2TRIAL4.00_B,Bl86-R20,Lhem,T2TRIAL4.00,B,Male_song_2,0.952723582
Bl86-R20_Lhem_T2TRIAL4.00_C,Bl86-R20,Lhem,T2TRIAL4.00,C,Male_song_2,0.672051769
R37-R3_Lhem_T2TRIAL2.45_A,R37-R3,Lhem,T2TRIAL2.45,A,Male_song_2,0.624064532
R37-R3_Lhem_T2TRIAL2.45_B,R37-R3,Lhem,T2TRIAL2.45,B,Male_song_2,0.83343362
R37-R3_Lhem_T2TRIAL2.45_C,R37-R3,Lhem,T2TRIAL2.45,C,Male_song_2,0.099559682
R37-R3_Lhem_T2TRIAL2.55_A,R37-R3,Lhem,T2TRIAL2.55,A,Male_song_2,0.123204911
